#<n>                        Sign_GCE    ErrorBar
0.058230385167846364        0.995     0.0022338296706550273
0.2232750837636437          0.861     0.011375596779995785
0.2808974581849356          0.98      0.004450831939365519
0.33672434257755307         0.715     0.015636807694585194
0.44520795097205973         0.681     0.016378450073599966
0.5028717266327846          0.94      0.007630800387723339
0.5718041458608765          0.397     0.02052818070608183
0.689124235518602           0.282     0.021458523577288773
0.7473954602667605          0.066     0.02231750513650122
0.8830815616593548          0.039     0.022349256019436336
0.9399180878866734          0.024     0.022359829627939812
0.9552355367033475          0.061     0.022324620810826173
1                           1         0
